"state.abb","y","nm","party","col","state.x","state.y","ev.r","ev.d","ev","total","clinton.rank","trump.rank","johnson.rank","margin","margin.p","clinton.p","trump.p","johnson.p","other.p","clinton","trump","johnson","other","x","legisNames"
"DE",-0.803290483376974,"Carper (D-DE)","D","blue","Delaware","Delaware",0,3,0,443814,1,2,3,50476,11.37,53.09,41.71,3.33,1.88,235603,185127,14757,8327,41.71,"Carper (D-DE)"
"PA",-0.789510030376788,"Casey (D-PA)","D","blue","Pennsylvania","Pennsylvania",20,0,0,6166710,2,1,3,44292,0.72,47.46,48.17,2.38,1.99,2926441,2970733,146715,122821,48.17,"Casey (D-PA)"
"WA",-0.789500158340317,"Cantwell (D-WA)","D","blue","Washington","Washington",0,8,4,3316996,1,2,3,520971,15.71,52.54,36.83,4.85,5.78,1742718,1221747,160879,191652,36.83,"Cantwell (D-WA)"
"RI",-0.757108537512813,"Whitehouse (D-RI)","D","blue","Rhode Island","Rhode Island",0,4,0,464144,1,2,3,71982,15.51,54.41,38.9,3.18,3.52,252525,180543,14746,16330,38.9,"Whitehouse (D-RI)"
"NH",-0.746931089722928,"Hassan (D-NH)","D","blue","New Hampshire","New Hampshire",0,4,0,744296,1,2,3,2736,0.37,46.83,46.46,4.14,2.58,348526,345790,30777,19203,46.46,"Hassan (D-NH)"
"MN",-0.7329965193042,"Klobuchar (D-MN)","D","blue","Minnesota","Minnesota",0,10,0,2945233,1,2,3,44593,1.51,46.44,44.93,3.84,4.79,1367825,1323232,112984,141192,44.93,"Klobuchar (D-MN)"
"HI",-0.731739917612312,"Schatz (D-HI)","D","blue","Hawaii","Hawaii",0,3,1,428937,1,2,3,138044,32.18,62.22,30.04,3.72,4.02,266891,128847,15954,17245,30.04,"Schatz (D-HI)"
"VA",-0.731206309707076,"Kaine (D-VA)","D","blue","Virginia","Virginia",0,13,0,3982752,1,2,3,212030,5.32,49.75,44.43,2.97,2.85,1981473,1769443,118274,113562,44.43,"Kaine (D-VA)"
"CA",-0.726292747248483,"Feinstein (D-CA)","D","blue","California","California",0,55,0,14237884,1,2,3,4269978,29.99,61.48,31.49,3.36,3.66,8753788,4483810,478500,521786,31.49,"Feinstein (D-CA)"
"NH",-0.722961611101638,"Shaheen (D-NH)","D","blue","New Hampshire","New Hampshire",0,4,0,744296,1,2,3,2736,0.37,46.83,46.46,4.14,2.58,348526,345790,30777,19203,46.46,"Shaheen (D-NH)"
"RI",-0.719096148332222,"Reed (D-RI)","D","blue","Rhode Island","Rhode Island",0,4,0,464144,1,2,3,71982,15.51,54.41,38.9,3.18,3.52,252525,180543,14746,16330,38.9,"Reed (D-RI)"
"IL",-0.713344332118239,"Durbin (D-IL)","D","blue","Illinois","Illinois",0,20,0,5594426,1,2,3,944714,16.89,55.25,38.36,3.75,2.65,3090729,2146015,209596,148086,38.36,"Durbin (D-IL)"
"NJ",-0.568503442680451,"Menendez (D-NJ)","D","blue","New Jersey","New Jersey",0,14,0,3906723,1,2,3,546345,13.98,54.99,41,1.86,2.15,2148278,1601933,72477,84035,41,"Menendez (D-NJ)"
"MO",-0.433251705825335,"McCaskill (D-MO)","D","blue","Missouri","Missouri",10,0,0,2827673,2,1,3,523443,18.51,37.88,56.39,3.44,2.29,1071068,1594511,97359,64735,56.39,"McCaskill (D-MO)"
"IN",-0.393605038667005,"Donnelly (D-IN)","D","blue","Indiana","Indiana",11,0,0,2757828,2,1,3,524160,19.01,37.46,56.47,4.86,1.21,1033126,1557286,133993,33423,56.47,"Donnelly (D-IN)"
"VA",-0.39142993790111,"Warner (D-VA)","D","blue","Virginia","Virginia",0,13,0,3982752,1,2,3,212030,5.32,49.75,44.43,2.97,2.85,1981473,1769443,118274,113562,44.43,"Warner (D-VA)"
"ME",-0.299202940680783,"King (I-ME)","I","green","Maine","Maine",1,3,0,747927,1,2,3,22142,2.96,47.83,44.87,5.09,2.21,357735,335593,38105,16494,44.87,"King (I-ME)"
"ND",-0.286393776418536,"Heitkamp (D-ND)","D","blue","North Dakota","North Dakota",3,0,0,344360,2,1,3,123036,35.73,27.23,62.96,6.22,3.59,93758,216794,21434,12374,62.96,"Heitkamp (D-ND)"
"WV",-0.242230576663424,"Manchin (D-WV)","D","blue","West Virginia","West Virginia",5,0,0,721231,2,1,3,300577,41.68,26.18,67.85,3.19,2.78,188794,489371,23004,20062,67.85,"Manchin (D-WV)"
"ME",0.20743645768218,"Collins (R-ME)","R","red","Maine","Maine",1,3,0,747927,1,2,3,22142,2.96,47.83,44.87,5.09,2.21,357735,335593,38105,16494,44.87,"Collins (R-ME)"
